Landscape,Affiliation,Solution Type,OSS Project / Solution Name,Company Name,Description,Solution Link,GITHUB - Stars,GITHUB - Forks,Lifecycle Stage,Red Team Stage - Choose 1,Red Team Coverage,Risk Maps Supported,Submitter eMail
Red Teaming,Company Representative,Commercial,Ansvar Intelligence Portal,Ansvar Systems AB,"MCP-native compliance intelligence and threat modeling platform. 91 MCP servers deliver deterministic access to security frameworks, global legislation, and vulnerability data with hard-linked citations to original sources, creating auditable evidentiary chains.",ansvar.eu,,,Govern,Purple,"Purple>Govern, Threat-model design aids, LLM attack-surface mapping, Agent attack-surface mapping, AI asset inventory, AI posture dashboards (AI-SPM / AI-TRiSM), Map red scenarios to blue controls, Risk taxonomy import/export, Visual data-flow mapping","OWASP Top 10 Risks and Mitigations for LLM Apps 2025, OWASP Top 10 Risks and Mitigations for Agentic Apps 2026",jeffrey.von.rotz@ansvar.eu
Red Teaming,Company Representative,Open Source,EU Compliance MCP,," Open-source MCP server providing deterministic, structured access to 50 EU regulations and 2,700+ articles including GDPR, AI Act, NIS2, DORA, and CRA. Every provision hard-linked to official EUR-Lex sources, creating auditable compliance chains for AI systems.
",ansvar.eu,,,Scoping/Planning,Blue,"Blue>Scoping/Planning, AI asset inventory, Risk taxonomy import/export",Does not Support OWASP GenAI Security Posture Reporting,jeffrey.von.rotz@ansvar.eu
Red Teaming,Company Representative,Commercial,Highflame RED,Highflame AI,"Highflame RED provides autonomous adversarial testing of AI Agents using research backed attack engines that generate novel & real-life adversarial testing scenarios. The RED teaming toolkit includes automatic reconnaissance of target Agent capabilities, Tool and Access privileges to autonomously generate test cases and test. RED also includes our sandboxed inference testing mode (for testing tool & model access in runtime) as well as an LLM Model & MCP Supply Chain Scan that incorporates for complete end-to-end testing. ",https://highflame.com/highflame-red,,,"Data Augmentation and Fine-Tuning, Development and Experimentation, Test and Evaluation, Release, Deploy, Operate, Monitor, Govern","Red, Blue, Purple","Red, Blue, Purple>Data Augmentation and Fine-Tuning, Development and Experimentation, Test and Evaluation, Release, Deploy, Operate, Monitor, Govern, Threat-model design aids, LLM attack-surface mapping, Agent attack-surface mapping, AI asset inventory, AI posture dashboards (AI-SPM / AI-TRiSM), Import red scenarios, Map red scenarios to blue controls, Risk-scoring dashboards, Risk taxonomy import/export, Visual data-flow mapping, Export of tests as stories, Data-poison fuzzing;, Synthetic insert generation, Malicious model artifacts, Data lineage & provenance tracking, DLP scanning, Bias-toxicity co-auditing, Bias / PII scorecards, Signed data packages, Diff corpus versions","OWASP Top 10 Risks and Mitigations for LLM Apps 2025, OWASP Top 10 Risks and Mitigations for Agentic Apps 2026",sharath@highflame.com
Red Teaming,Company Representative,Open Source,Python Risk Identification Tool for generative AI (PyRIT),,The Python Risk Identification Tool for generative AI (PyRIT) is an open source framework built to empower security professionals and engineers to proactively identify risks in generative AI systems. ,https://azure.github.io/PyRIT/,,,Test and Evaluation,Red,Red>Test and Evaluation,"OWASP Top 10 Risks and Mitigations for LLM Apps 2025, OWASP Top 10 Risks and Mitigations for Agentic Apps 2026",tkohlenberg@microsoft.com
Red Teaming,Company Representative,Open Source,HiveTrace Red,,"HiveTrace Red is an open source AI red teaming framework for testing LLM and agentic systems. It supports automated adversarial test generation, multi-turn attack simulation, prompt injection testing, and structured evaluation reporting.",https://github.com/HiveTrace/HiveTraceRed,,,Test and Evaluation,Red,"Red>Test and Evaluation, LLM attack-surface mapping, Agent attack-surface mapping, Synthetic insert generation, Bias-toxicity co-auditing",OWASP Top 10 Risks and Mitigations for LLM Apps 2025,evgeniy.kokuykin@raftds.com
Red Teaming,Company Representative,Commercial,Lasso's Automated AI Red Teaming ,Lasso Security ,"Automated adversarial testing for agentic applications. Lasso profiles each application through recon, runs static and high-agency, multi-turn attacks to surface exploitable vulnerabilities, then maps findings directly to policy updates and runtime enforcement through purple and blue teaming.",https://www.lasso.security/platform/lasso-red-teaming,,,"Scoping/Planning, Development and Experimentation, Test and Evaluation, Release, Deploy, Operate, Monitor, Govern","Red, Blue, Purple","Red, Blue, Purple>Scoping/Planning, Development and Experimentation, Test and Evaluation, Release, Deploy, Operate, Monitor, Govern, Threat-model design aids, LLM attack-surface mapping, Agent attack-surface mapping, AI asset inventory, AI posture dashboards (AI-SPM / AI-TRiSM), Import red scenarios, Map red scenarios to blue controls, Risk-scoring dashboards, Visual data-flow mapping, Export of tests as stories, Data-poison fuzzing;, Synthetic insert generation, Malicious model artifacts, DLP scanning, Bias-toxicity co-auditing, Replay Red mutation through Bias filters, Bias / PII scorecards, Diff corpus versions","OWASP Top 10 Risks and Mitigations for LLM Apps 2025, OWASP Top 10 Risks and Mitigations for Agentic Apps 2026",sarahe@lasso.security
Red Teaming,Company Representative,Commercial,XecART,CyCraft Technology,"XecART AI Red Teaming Security Assessment covers model testing, compliance assessment and resilience evaluation. Based on standards including OWASP, ISO, NIST, and financial regulatory guidelines, XecART delivers compliance reports through multi-round adversarial testing, helping enterprises strengthen external, identity, and response resilience to achieve both AI security and compliance excellence.",https://www.cycraft.com/en/xecart,,,"Scoping/Planning, Development and Experimentation, Test and Evaluation","Red|Red, Purple","Red>Scoping/Planning, Development and Experimentation, Test and Evaluation, LLM attack-surface mapping, Visual data-flow mapping, Synthetic insert generation, Bias / PII scorecards, Red, Purple>Test and Evaluation, Monitor, Threat-model design aids, Map red scenarios to blue controls, Synthetic insert generation, Replay Red mutation through Bias filters, Bias / PII scorecards",OWASP Top 10 Risks and Mitigations for LLM Apps 2025,vinci.tu@cycraft.com
Red Teaming,Company Representative,Commercial,XecGuard,CyCraft Technology,"the next-generation AI Guardrail safety module, instantly equips existing AI applications with robust malicious context defense. By blocking threats such as Prompt Injection, Prompt Extraction and Jailbreak attacks, XecGuard precisely enhances instruction adherence and provides active defense for enterprise AI.",https://www.cycraft.com/en/xecguard,,,"Data Augmentation and Fine-Tuning, Test and Evaluation, Deploy, Operate","Blue|Blue, Purple","Blue>Data Augmentation and Fine-Tuning, Test and Evaluation, Deploy, Operate, Data lineage & provenance tracking, DLP scanning, Blue, Purple>Operate, Monitor, Bias / PII scorecards",OWASP Top 10 Risks and Mitigations for LLM Apps 2025,vinci.tu@cycraft.com
Red Teaming,Company Representative,Commercial,Vulcan,Vulcan,"Identify your AI application vulnerabilities with Vulcan's red teaming services, and monitor and protect what matters most in real time with Vulcan's guardrails.",https://vulcanlab.ai,,,"Test and Evaluation, Operate, Govern","Red, Blue","Red, Blue>Test and Evaluation, Operate, Govern",OWASP Top 10 Risks and Mitigations for LLM Apps 2025,joby.chang@aift.io
Red Teaming,End User,Open Source,LLM-RTK (Large Language Model Red Teaming Kit),,"Adversarial testing framework for GenAI systems that executes objective-driven attack prompts and analyzes responses to identify potential security weaknesses aligned with OWASP GenAI risks, including prompt injection, data leakage, role escalation, and policy bypass behaviors.",https://github.com/koraydns/llm-rtk,,,Test and Evaluation,Red,Red>Test and Evaluation,OWASP Top 10 Risks and Mitigations for LLM Apps 2025,koray.danisma@gmail.com
